origin,car_model,mileage,exterior_color,num_of_doors,seating_capacity,transmission,engine_type,engine_capacity,drive_type,fuel_consumption,brand,grade,year_of_manufacture,price
1,4.0,78000.0,16776960,5,7,1,0,3.6,1,1.0,10,304,2009,580.0
0,5.0,59000.0,16776960,4,5,0,0,1.5,2,1.0,11,413,2016,311.0
1,5.0,85000.0,16777215,4,5,1,0,3.5,4,1.0,8,331,2006,535.0
0,0.0,62000.0,0,5,8,0,0,2.0,4,7.0,11,208,2016,368.0
1,4.0,36000.0,12088115,5,7,1,0,2.7,0,10.0,11,293,2013,1250.0
0,4.0,8000.0,0,5,5,1,0,2.0,1,1.0,8,171,2019,1679.0
1,4.0,90000.0,16777215,5,7,1,0,3.8,1,1.0,4,411,2008,469.0
1,4.0,83000.0,16777215,5,5,1,0,2.0,2,7.0,3,77,2011,438.0
1,4.0,10000.0,0,5,7,1,0,3.7,1,1.0,10,243,2009,565.0
0,5.0,26000.0,0,4,5,1,0,1.5,2,1.0,11,413,2019,535.0
1,5.0,38000.0,0,4,5,1,0,3.0,1,1.0,10,310,2013,2800.0
1,6.0,800000.0,12632256,4,16,0,0,2.7,4,10.0,11,201,2013,445.0
1,6.0,150000.0,12632256,4,16,0,0,2.7,4,9.0,11,201,2015,540.0
0,5.0,46000.0,16777215,4,5,1,0,1.8,2,1.0,1,116,2016,415.0
1,5.0,38000.0,0,4,5,1,1,3.5,2,1.0,6,223,2017,5400.0
0,4.0,33000.0,16711680,5,5,1,0,2.0,4,1.0,8,171,2021,1879.0
0,5.0,38000.0,16711680,4,5,1,0,1.8,2,1.0,1,116,2017,455.0
0,4.0,500.0,16777215,5,5,1,0,2.0,4,1.0,8,171,2021,1679.0
0,5.0,3000.0,16777215,4,5,1,0,3.0,4,1.0,8,331,2020,3579.0
1,3.0,60000.0,0,4,5,1,2,2.8,0,7.0,1,104,2015,479.0
0,5.0,38000.0,12632256,4,5,1,0,2.0,2,1.0,4,133,2017,570.0
0,5.0,38000.0,32768,4,5,1,0,1.6,2,1.0,5,98,2018,560.0
0,4.0,36000.0,12632256,5,7,1,0,2.0,2,1.0,5,329,2016,470.0
0,5.0,62000.0,0,4,5,0,0,1.5,2,1.0,11,413,2015,298.0
0,5.0,38000.0,12632256,4,5,0,0,1.4,2,1.0,4,48,2019,445.0
1,3.0,86000.0,16777215,4,5,1,2,3.2,0,1.0,2,322,2016,699.0
1,5.0,90000.0,16777215,4,5,1,0,3.6,4,1.0,10,341,2008,589.0
1,5.0,73000.0,0,4,5,1,0,2.0,2,1.0,10,43,2010,550.0
1,4.0,40000.0,0,5,5,1,0,2.0,1,1.0,0,429,2018,1710.0
0,5.0,11.0,10824234,4,5,0,0,1.6,2,1.0,4,133,2017,403.0
1,5.0,170000.0,0,4,5,1,0,3.5,1,11.0,6,175,2009,760.0
1,5.0,87000.0,16776656,4,5,1,0,2.7,4,1.0,10,12,2009,530.0
1,4.0,13000.0,16777215,5,5,1,0,2.0,1,1.0,8,171,2020,2150.0
1,5.0,79000.0,12632256,4,5,1,0,5.5,4,1.0,8,331,2006,530.0
1,5.0,79000.0,0,4,5,1,0,2.0,4,1.0,0,9,2013,550.0
1,5.0,78000.0,16777215,4,4,1,0,3.0,4,1.0,8,76,2010,645.0
1,0.0,79000.0,0,5,5,1,0,3.5,1,1.0,10,261,2005,335.0
1,5.0,67000.0,0,4,4,1,0,3.8,4,7.0,4,179,2009,480.0
1,4.0,36000.0,16777215,5,7,1,0,2.0,1,1.0,10,383,2019,1650.0
0,5.0,15000.0,16777215,4,5,1,0,2.0,4,1.0,8,128,2020,299.0
1,4.0,4700.0,16711680,5,5,1,0,2.0,1,8.0,10,321,2020,4819.0
0,4.0,2000.0,16777215,5,5,1,0,2.0,1,8.0,8,171,2021,1880.0
0,4.0,3000.0,16777215,5,5,1,0,2.0,4,7.0,8,171,2021,1650.0
0,4.0,79.0,0,5,5,1,0,2.0,1,1.0,8,171,2021,2179.0
1,4.0,129000.0,0,5,5,1,0,4.0,1,1.0,8,165,2021,12980.0
0,4.0,50.0,16777215,5,5,1,0,2.0,1,1.0,8,171,2021,2139.0
0,5.0,5000.0,16777215,4,5,1,0,1.5,4,1.0,8,72,2021,1379.0
0,5.0,50.0,16777215,4,5,1,0,1.5,4,1.0,8,128,2021,249.0
0,5.0,38000.0,16777215,4,5,1,0,2.0,4,1.0,8,128,2014,715.0
0,4.0,16000.0,16777215,5,5,1,0,2.0,1,7.0,8,171,2019,1660.0
0,5.0,15000.0,16777215,4,5,1,0,2.0,4,1.0,8,72,2020,1639.0
0,5.0,36000.0,0,4,5,1,0,2.0,4,1.0,8,72,2019,1279.0
1,4.0,36000.0,32768,5,5,1,0,3.0,1,1.0,10,93,2019,6179.0
0,4.0,2500.0,16777215,5,5,1,0,2.0,1,7.0,8,171,2019,1610.0
0,5.0,150000.0,16777215,4,5,0,0,1.6,2,1.0,4,58,2012,285.0
0,0.0,68000.0,0,5,8,0,0,2.0,4,6.0,11,208,2016,360.0
0,5.0,1000.0,16777215,4,5,1,0,2.0,4,1.0,8,128,2021,299.0
1,0.0,89000.0,32768,5,5,1,0,3.5,4,1.0,10,150,2006,480.0
1,4.0,15000.0,0,5,4,1,1,2.0,1,8.0,10,318,2019,7800.0
