origin,car_model,mileage,exterior_color,num_of_doors,seating_capacity,transmission,engine_type,engine_capacity,drive_type,fuel_consumption,brand,grade,year_of_manufacture,price
1,0.6666666666666666,1.8160557382814846e-05,0.9999848008146763,1.0,0.14893617021276595,1,0.0,0.3181818181818182,0.25,0.05,0.8333333333333333,0.6681318681318681,0.5882352941176471,580.0
0,0.8333333333333333,1.3736775151331339e-05,0.9999848008146763,0.75,0.10638297872340426,0,0.0,0.12727272727272726,0.5,0.05,0.9166666666666666,0.9076923076923077,0.7941176470588235,311.0
1,0.8333333333333333,1.9790371889150875e-05,1.0,0.75,0.10638297872340426,1,0.0,0.3090909090909091,1.0,0.05,0.6666666666666666,0.7274725274725274,0.5,535.0
0,0.0,1.4435267082618208e-05,0.0,1.0,0.1702127659574468,0,0.0,0.17272727272727273,1.0,0.35,0.9166666666666666,0.45714285714285713,0.7941176470588235,368.0
1,0.6666666666666666,8.381670344798672e-06,0.7205078435246851,1.0,0.14893617021276595,1,0.0,0.23636363636363636,0.0,0.5,0.9166666666666666,0.643956043956044,0.7058823529411765,1250.0
0,0.6666666666666666,1.8624123194545565e-06,0.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.6666666666666666,0.3758241758241758,0.8823529411764706,1679.0
1,0.6666666666666666,2.0954525107962324e-05,1.0,1.0,0.14893617021276595,1,0.0,0.33636363636363636,0.25,0.05,0.3333333333333333,0.9032967032967033,0.5588235294117647,469.0
1,0.6666666666666666,1.9324710601626295e-05,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.5,0.35,0.25,0.16923076923076924,0.6470588235294118,438.0
1,0.6666666666666666,2.328073606979136e-06,0.0,1.0,0.14893617021276595,1,0.0,0.32727272727272727,0.25,0.05,0.8333333333333333,0.5340659340659341,0.5882352941176471,565.0
0,0.8333333333333333,6.053363907175774e-06,0.0,0.75,0.10638297872340426,1,0.0,0.12727272727272726,0.5,0.05,0.9166666666666666,0.9076923076923077,0.8823529411764706,535.0
1,0.8333333333333333,8.847331632323252e-06,0.0,0.75,0.10638297872340426,1,0.0,0.2636363636363636,0.25,0.05,0.8333333333333333,0.6813186813186813,0.7058823529411765,2800.0
1,1.0,0.00018626428217918811,0.7529411764705882,0.75,0.3404255319148936,0,0.0,0.23636363636363636,1.0,0.5,0.9166666666666666,0.44175824175824174,0.7058823529411765,445.0
1,1.0,3.4924363733699715e-05,0.7529411764705882,0.75,0.3404255319148936,0,0.0,0.23636363636363636,1.0,0.45,0.9166666666666666,0.44175824175824174,0.7647058823529411,540.0
0,0.8333333333333333,1.070997678242157e-05,1.0,0.75,0.10638297872340426,1,0.0,0.15454545454545454,0.5,0.05,0.08333333333333333,0.2549450549450549,0.7941176470588235,415.0
1,0.8333333333333333,8.847331632323252e-06,0.0,0.75,0.10638297872340426,1,0.3333333333333333,0.3090909090909091,0.5,0.05,0.5,0.4901098901098901,0.8235294117647058,5400.0
0,0.6666666666666666,7.683178413511803e-06,0.9960938093718177,1.0,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.3758241758241758,0.9411764705882353,1879.0
0,0.8333333333333333,8.847331632323252e-06,0.9960938093718177,0.75,0.10638297872340426,1,0.0,0.15454545454545454,0.5,0.05,0.08333333333333333,0.2549450549450549,0.8235294117647058,455.0
0,0.6666666666666666,1.1618249123738263e-07,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.3758241758241758,0.9411764705882353,1679.0
0,0.8333333333333333,6.982591006431072e-07,1.0,0.75,0.10638297872340426,1,0.0,0.2636363636363636,1.0,0.05,0.6666666666666666,0.7274725274725274,0.9117647058823529,3579.0
1,0.5,1.3969605795093628e-05,0.0,0.75,0.10638297872340426,1,0.6666666666666666,0.24545454545454543,0.0,0.35,0.08333333333333333,0.22857142857142856,0.7647058823529411,479.0
0,0.8333333333333333,8.847331632323252e-06,0.7529411764705882,0.75,0.10638297872340426,1,0.0,0.17272727272727273,0.5,0.05,0.3333333333333333,0.2923076923076923,0.8235294117647058,570.0
0,0.8333333333333333,8.847331632323252e-06,0.0019531251164153288,0.75,0.10638297872340426,1,0.0,0.13636363636363635,0.5,0.05,0.41666666666666663,0.2153846153846154,0.8529411764705882,560.0
0,0.6666666666666666,8.381670344798672e-06,0.7529411764705882,1.0,0.14893617021276595,1,0.0,0.17272727272727273,0.5,0.05,0.41666666666666663,0.7230769230769231,0.7941176470588235,470.0
0,0.8333333333333333,1.4435267082618208e-05,0.0,0.75,0.10638297872340426,0,0.0,0.12727272727272726,0.5,0.05,0.9166666666666666,0.9076923076923077,0.7647058823529411,298.0
0,0.8333333333333333,8.847331632323252e-06,0.7529411764705882,0.75,0.10638297872340426,0,0.0,0.11818181818181817,0.5,0.05,0.3333333333333333,0.1054945054945055,0.8823529411764706,445.0
1,0.5,2.0023202532913164e-05,1.0,0.75,0.10638297872340426,1,0.6666666666666666,0.2818181818181818,0.0,0.05,0.16666666666666666,0.7076923076923077,0.7941176470588235,699.0
1,0.8333333333333333,2.0954525107962324e-05,1.0,0.75,0.10638297872340426,1,0.0,0.3181818181818182,1.0,0.05,0.8333333333333333,0.7494505494505495,0.5588235294117647,589.0
1,0.8333333333333333,1.6996404164003396e-05,0.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,0.5,0.05,0.8333333333333333,0.0945054945054945,0.6176470588235294,550.0
1,0.6666666666666666,9.312992919847832e-06,0.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.0,0.9428571428571428,0.8529411764705882,1710.0
0,0.8333333333333333,2.3283064376228985e-09,0.6451746609911121,0.75,0.10638297872340426,0,0.0,0.13636363636363635,0.5,0.05,0.3333333333333333,0.2923076923076923,0.8235294117647058,403.0
1,0.8333333333333333,3.958097660894551e-05,0.0,0.75,0.10638297872340426,1,0.0,0.3090909090909091,0.25,0.55,0.5,0.38461538461538464,0.5882352941176471,760.0
1,0.8333333333333333,2.0256033176675454e-05,0.9999666810015846,0.75,0.10638297872340426,1,0.0,0.23636363636363636,1.0,0.05,0.8333333333333333,0.026373626373626374,0.5882352941176471,530.0
1,0.6666666666666666,3.0265655382660057e-06,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.6666666666666666,0.3758241758241758,0.9117647058823529,2150.0
1,0.8333333333333333,1.8393388026577136e-05,0.7529411764705882,0.75,0.10638297872340426,1,0.0,0.49090909090909096,1.0,0.05,0.6666666666666666,0.7274725274725274,0.5,530.0
1,0.8333333333333333,1.8393388026577136e-05,0.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.0,0.01978021978021978,0.7058823529411765,550.0
1,0.8333333333333333,1.8160557382814846e-05,1.0,0.75,0.0851063829787234,1,0.0,0.2636363636363636,1.0,0.05,0.6666666666666666,0.16703296703296702,0.6176470588235294,645.0
1,0.0,1.8393388026577136e-05,0.0,1.0,0.10638297872340426,1,0.0,0.3090909090909091,0.25,0.05,0.8333333333333333,0.5736263736263736,0.47058823529411764,335.0
1,0.8333333333333333,1.5599420301429657e-05,0.0,0.75,0.0851063829787234,1,0.0,0.33636363636363636,1.0,0.35,0.3333333333333333,0.3934065934065934,0.5882352941176471,480.0
1,0.6666666666666666,8.381670344798672e-06,1.0,1.0,0.14893617021276595,1,0.0,0.17272727272727273,0.25,0.05,0.8333333333333333,0.8417582417582418,0.8823529411764706,1650.0
0,0.8333333333333333,3.4922268257905854e-06,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.2813186813186813,0.9117647058823529,299.0
1,0.6666666666666666,1.094071195039e-06,0.9960938093718177,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.4,0.8333333333333333,0.7054945054945055,0.9117647058823529,4819.0
0,0.6666666666666666,4.654284568808174e-07,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.4,0.6666666666666666,0.3758241758241758,0.9411764705882353,1880.0
0,0.6666666666666666,6.982591006431072e-07,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.35,0.6666666666666666,0.3758241758241758,0.9411764705882353,1650.0
0,0.6666666666666666,1.8160790213458608e-08,0.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.6666666666666666,0.3758241758241758,0.9411764705882353,2179.0
1,0.6666666666666666,3.0034920214691628e-05,0.0,1.0,0.10638297872340426,1,0.0,0.35454545454545455,0.25,0.05,0.6666666666666666,0.3626373626373626,0.9411764705882353,12980.0
0,0.6666666666666666,1.1408701544352202e-08,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.6666666666666666,0.3758241758241758,0.9411764705882353,2139.0
0,0.8333333333333333,1.163920388167687e-06,1.0,0.75,0.10638297872340426,1,0.0,0.12727272727272726,1.0,0.05,0.6666666666666666,0.15824175824175823,0.9411764705882353,1379.0
0,0.8333333333333333,1.1408701544352202e-08,1.0,0.75,0.10638297872340426,1,0.0,0.12727272727272726,1.0,0.05,0.6666666666666666,0.2813186813186813,0.9411764705882353,249.0
0,0.8333333333333333,8.847331632323252e-06,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.2813186813186813,0.7352941176470589,715.0
0,0.6666666666666666,3.7250574695528752e-06,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.35,0.6666666666666666,0.3758241758241758,0.8823529411764706,1660.0
0,0.8333333333333333,3.4922268257905854e-06,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.15824175824175823,0.9117647058823529,1639.0
0,0.8333333333333333,8.381670344798672e-06,0.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.15824175824175823,0.8823529411764706,1279.0
1,0.6666666666666666,8.381670344798672e-06,0.0019531251164153288,1.0,0.10638297872340426,1,0.0,0.2636363636363636,0.25,0.05,0.8333333333333333,0.2043956043956044,0.8823529411764706,6179.0
0,0.6666666666666666,5.818437787619623e-07,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.35,0.6666666666666666,0.3758241758241758,0.8823529411764706,1610.0
0,0.8333333333333333,3.4924363733699715e-05,1.0,0.75,0.10638297872340426,0,0.0,0.13636363636363635,0.5,0.05,0.3333333333333333,0.12747252747252746,0.6764705882352942,285.0
0,0.0,1.5832250945191947e-05,0.0,1.0,0.1702127659574468,0,0.0,0.17272727272727273,1.0,0.3,0.9166666666666666,0.45714285714285713,0.7941176470588235,360.0
0,0.8333333333333333,2.3259781311852756e-07,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.2813186813186813,0.9411764705882353,299.0
1,0.0,2.0721694464200034e-05,0.0019531251164153288,1.0,0.10638297872340426,1,0.0,0.3090909090909091,1.0,0.05,0.8333333333333333,0.32967032967032966,0.5,480.0
1,0.6666666666666666,3.4922268257905854e-06,0.0,1.0,0.0851063829787234,1,0.3333333333333333,0.17272727272727273,0.25,0.4,0.8333333333333333,0.6989010989010989,0.8823529411764706,7800.0
0,0.8333333333333333,9.312992919847832e-06,0.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.15824175824175823,0.7647058823529411,789.0
0,0.8333333333333333,9.545823563610121e-06,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,0.5,0.05,0.41666666666666663,0.2153846153846154,0.8235294117647058,505.0
0,0.0,1.3940501964623342e-05,0.9999848008146763,1.0,0.1702127659574468,0,0.0,0.17272727272727273,1.0,0.05,0.9166666666666666,0.45714285714285713,0.7352941176470589,348.0
1,0.8333333333333333,1.7694896095290266e-05,0.0,0.75,0.10638297872340426,1,0.0,0.4090909090909091,0.25,0.5,0.5,0.4901098901098901,0.6176470588235294,1150.0
0,0.6666666666666666,9.310897444053971e-07,1.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.35,0.6666666666666666,0.3758241758241758,0.9411764705882353,2180.0
1,0.6666666666666666,1.9091879957864005e-05,0.0,1.0,0.10638297872340426,1,0.0,0.3090909090909091,0.25,0.05,0.5,0.6945054945054945,0.6470588235294118,1160.0
1,1.0,8.381670344798672e-06,0.7529411764705882,1.0,0.0425531914893617,1,0.0,0.08181818181818182,0.5,0.05,0.41666666666666663,0.5692307692307692,0.7058823529411765,225.0
1,0.8333333333333333,1.210696064499531e-05,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.8333333333333333,0.9626373626373627,0.7647058823529411,2280.0
1,1.0,8.381670344798672e-06,1.0,1.0,0.14893617021276595,1,0.0,0.3090909090909091,0.5,0.05,0.9166666666666666,0.7714285714285715,0.7941176470588235,2550.0
1,0.8333333333333333,5.820533263413484e-06,0.6451746609911121,0.75,0.10638297872340426,1,0.3333333333333333,0.3090909090909091,0.5,0.05,0.5,0.4901098901098901,0.8823529411764706,6250.0
1,0.8333333333333333,8.847331632323252e-06,1.0,0.75,0.10638297872340426,1,0.0,0.35454545454545455,1.0,0.05,0.8333333333333333,0.3384615384615385,0.7647058823529411,7865.0
1,0.6666666666666666,1.3419194153239575e-05,0.0,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.8333333333333333,0.701098901098901,0.7058823529411765,1100.0
0,0.8333333333333333,5.354871975888904e-06,0.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.15824175824175823,0.8823529411764706,1479.0
1,0.8333333333333333,2.328073606979136e-06,0.9999666810015846,0.75,0.10638297872340426,0,0.0,0.17272727272727273,1.0,0.35,0.9166666666666666,0.4747252747252747,0.0,139.0
1,0.16666666666666666,6.751855838462643e-06,0.9960938093718177,0.25,0.0425531914893617,1,0.0,0.08181818181818182,1.0,0.05,0.8333333333333333,0.35384615384615387,0.5,450.0
1,0.8333333333333333,8.847331632323252e-06,0.0,0.75,0.10638297872340426,1,0.0,0.3090909090909091,0.5,0.05,0.9166666666666666,0.189010989010989,0.5294117647058824,435.0
1,0.6666666666666666,8.381670344798672e-06,1.0,0.25,0.0851063829787234,0,0.0,0.17272727272727273,0.0,0.05,0.8333333333333333,0.9296703296703297,0.029411764705882353,800.0
1,0.6666666666666666,8.381670344798672e-06,1.0,1.0,0.10638297872340426,1,0.0,0.12727272727272726,0.5,0.05,0.8333333333333333,0.14505494505494507,0.9411764705882353,768.0
1,0.6666666666666666,8.381670344798672e-06,0.9960938093718177,1.0,0.10638297872340426,1,0.0,0.390909090909091,0.25,0.05,0.0,0.9472527472527472,0.5588235294117647,980.0
1,0.6666666666666666,8.381670344798672e-06,1.0,1.0,0.10638297872340426,1,0.0,0.2636363636363636,0.25,0.05,0.8333333333333333,0.6989010989010989,0.7352941176470589,3350.0
1,0.6666666666666666,2.0954525107962324e-05,0.0,1.0,0.14893617021276595,1,0.0,0.5090909090909091,0.25,0.05,0.5,0.49230769230769234,0.6176470588235294,2450.0
1,0.6666666666666666,1.8626218670339425e-05,0.9960938093718177,1.0,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.8333333333333333,0.701098901098901,0.6764705882352942,945.0
0,0.8333333333333333,6.751855838462643e-06,0.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.2813186813186813,0.8235294117647058,1379.0
0,0.8333333333333333,3.4922268257905854e-06,0.9960938093718177,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.15824175824175823,0.9117647058823529,1619.0
0,0.8333333333333333,4.8892106883643245e-06,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,1.0,0.05,0.6666666666666666,0.15824175824175823,0.9117647058823529,1619.0
1,0.8333333333333333,8.847331632323252e-06,1.0,0.75,0.10638297872340426,1,0.0,0.17272727272727273,0.25,0.05,0.8333333333333333,0.09230769230769231,0.6764705882352942,980.0
1,0.6666666666666666,8.381670344798672e-06,0.0,1.0,0.14893617021276595,0,0.0,0.35454545454545455,0.0,0.05,0.9166666666666666,0.5032967032967033,0.0,450.0
1,0.6666666666666666,8.381670344798672e-06,1.0,1.0,0.10638297872340426,1,0.0,0.4454545454545455,0.25,0.05,0.8333333333333333,0.6989010989010989,0.5882352941176471,1580.0
